product_id,title,reason
1991247152274202625,Pet Sofa Bed Couch with Storage,Product is blocked (NSFW/inappropriate)
1994702401923076097,"63'' Large Dog Crate Furniture For Double Dog, Wooden Dog Kennel With 2 Drawers,Divider And Sliding ",Product is blocked (NSFW/inappropriate)
1991245494926479361,Dog Crate Furniture,Product is blocked (NSFW/inappropriate)
1991245931987591170,"47"" Dog Crate Furniture with Storage",Product is blocked (NSFW/inappropriate)
1991246327395160066,Dog Kennel Furniture Side End Table Indoor with Lockable Door,Product is blocked (NSFW/inappropriate)
1991245843739435009,Furniture Style Dog Crate End Table,Product is blocked (NSFW/inappropriate)
1991247114789707777,Luxury Fancy Dog Couch with Hidden Storage,Product is blocked (NSFW/inappropriate)
1991248407476342785,Dog Ramp for Couch,Product is blocked (NSFW/inappropriate)
1991246873766846465,"39"" Dog Crate Furniture w/ Anti-Chew Resistant Anti-Escape Single Door",Product is blocked (NSFW/inappropriate)
1991248684388487169,"Dog Potty Tray Stainless Steel for Small and Medium Dogs, Dog Training Tray for Porch, Bathroom, Bal",Product is blocked (NSFW/inappropriate)
1991246597462876162,"39"" Dog Crate Furniture Side Table for Large Dogs with Three Doors",Product is blocked (NSFW/inappropriate)
1991246050971607041,Dog Crate Furniture with Soft Cushion,Product is blocked (NSFW/inappropriate)
1992920203261681665,Cat Litter Box Enclosure Wooden Litter Box Furniture Hidden 2 Rooms Black,Product is blocked (NSFW/inappropriate)
1993036220667305985,Wall Mounted Cat Shelves Tree With Jumping Boards Nest Furniture Set Of 5,Product is blocked (NSFW/inappropriate)
1991251003025580033,"Wall Mounted Cat House, Cat Wall Furniture, Cat Wall Shelf with Washable Cushion, Natural",Product is blocked (NSFW/inappropriate)
1967501908958019585,PawHut Rattan Elevated Cat Bed House Kitten Basket Ball Shaped Pet Furniture W Removable Cushion - S,Product is blocked (NSFW/inappropriate)
cj_2512230533251609000,New Retro Puppy Socks For Women,Text blacklist: socks for women
cj_2512040331161633500,Press-and-expand Purple Bunny Silicone Soft Case,Text blacklist: phone case
cj_2511250529161637700,Gold Foil Small Wine Glass K9 Crystal,Text blacklist: wine glass
cj_2510240949261602900,Whiskey Shot Glass European-style Transparent K9 Crystal Cup,Text blacklist: wine glass
cj_2412160124341607200,K9 New Mini 3D Printer E-Commerce Toy Introduction,Text blacklist: 3d printer
cj_1793176932666843136,PVC Three-dimensional Inlaid Gem K9 Niche Nail Customization,Text blacklist: makeup
